Application ID,Campus Applied,Course,Exam Venue,Date,Time,,
78958589,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
68444369,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
80661011,CANDIJAY,BSCS,Bohol Island State University - CANDIJAY Campus,"Jan 22, 2025",8:30 am -11:30 am,,
73081722,CLARIN,BSHM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
46192230,CLARIN,BSCS,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
81896223,CLARIN,BSHM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
42494415,CLARIN,BSHM,Bohol Island State University - CLARIN Campus,"Jan 18, 2025",1:30 pm - 4:30 pm,,
98841309,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
19637675,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
68355614,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
45289998,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
50011935,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
75671913,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
68012848,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
61704654,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
11588775,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
65028227,CALAPE,BSIT-FPST,Bohol Island State University - CALAPE Campus,"Jan 22, 2025",8:30 am -11:30 am,,
31738647,CALAPE,BSIT-FPST,"Katipunan National High School - Carmen, Bohol","Mar 1, 2025",8:30 am -11:30 am,,
58454173,MAIN,BSED-FILIPINO,Bohol Island State University - CLARIN Campus,,,,
54051844,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
33231666,MAIN,BSED-FILIPINO,Bohol Island State University - BILAR Campus,,,,
98159556,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
85147614,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
79715931,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
20431755,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
71946961,MAIN,BSED-FILIPINO,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 21, 2025",8:30 am -11:30 am,,
55065837,MAIN,BSED-FILIPINO,Bohol Island State University - BALILIHAN Campus,"Mar 5, 2025",1:30 pm - 4:30 pm,,
86427004,MAIN,BSCE,Bohol Island State University - CALAPE Campus,,,,
57238965,MAIN,BSCE,Bohol Island State University - CALAPE Campus,,,,
97106565,MAIN,BSCE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 16, 2025",8:30 am -11:30 am,,
45606682,MAIN,BSCE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 16, 2025",8:30 am -11:30 am,,
97228356,MAIN,BSCE,Bohol Island State University - BALILIHAN Campus,"Mar 5, 2025",8:30 am -11:30 am,,
96281997,MAIN,BSCE,Bohol Island State University - BINGAG-DAUIS Campus,"Jan 16, 2025",8:30 am -11:30 am,,
